campaign_id,campaign_name,campaign_type,spend,start_date
CMP-1000,Referral - Whiteboard One-To-One Web-Readiness,Referral,2133.99,2025-07-29
CMP-1001,Referral - Empower Interactive E-Services,Referral,2625.09,2024-04-18
CMP-1002,Paid Search - Extend Sticky Methodologies,Paid Search,18488.45,2025-07-29
CMP-1003,Webinar - Productize E-Business Applications,Webinar,10213.6,2024-11-23
CMP-1004,Outbound - Integrate Proactive Infrastructures,Outbound,8243.27,2024-06-18
CMP-1005,Field Event - Enhance Proactive Schemas,Field Event,25271.31,2024-06-03
CMP-1006,Webinar - Unleash Next-Generation E-Services,Webinar,6549.1,2024-12-14
CMP-1007,Outbound - Benchmark Efficient Synergies,Outbound,14424.22,2025-08-12
CMP-1008,Outbound - Exploit Granular E-Commerce,Outbound,9586.05,2024-09-21
CMP-1009,Referral - Empower B2C E-Tailers,Referral,3903.97,2025-08-16
CMP-1010,Field Event - Facilitate Sticky Infrastructures,Field Event,32817.62,2024-10-22
CMP-1011,Outbound - Transform Synergistic Convergence,Outbound,10538.29,2025-04-13
CMP-1012,Webinar - Morph Revolutionary Bandwidth,Webinar,10870.46,2025-02-20
CMP-1013,Paid Search - Embrace Enterprise Infrastructures,Paid Search,32453.48,2025-03-04
CMP-1014,Content Syndication - Envisioneer Bricks-And-Clicks Networks,Content Syndication,13168.07,2024-05-29
CMP-1015,Paid Search - Unleash Innovative Paradigms,Paid Search,38930.33,2025-05-28
CMP-1016,Content Syndication - Enhance Distributed Infrastructures,Content Syndication,10533.15,2025-10-26
CMP-1017,Field Event - Enhance Mission-Critical Architectures,Field Event,27868.66,2024-08-03
CMP-1018,Content Syndication - Target Bricks-And-Clicks Communities,Content Syndication,18055.89,2024-10-14
CMP-1019,Webinar - Seize Best-Of-Breed Web Services,Webinar,10637.85,2024-07-26
CMP-1020,Outbound - Scale Intuitive Metrics,Outbound,8697.91,2025-05-08
CMP-1021,Field Event - Leverage Interactive Communities,Field Event,27152.01,2024-12-25
CMP-1022,Content Syndication - Synergize Real-Time Functionalities,Content Syndication,21441.07,2025-06-18
CMP-1023,Outbound - Engage Magnetic Methodologies,Outbound,17825.42,2024-09-08
CMP-1024,Content Syndication - E-Enable Leading-Edge E-Services,Content Syndication,17660.28,2025-09-30
CMP-1025,Referral - Integrate Turn-Key Interfaces,Referral,2008.67,2024-07-26
CMP-1026,Referral - Optimize Killer Networks,Referral,2483.69,2025-07-11
CMP-1027,Content Syndication - Harness Killer Experiences,Content Syndication,23778.32,2025-01-22
CMP-1028,Paid Search - Strategize Ubiquitous Eyeballs,Paid Search,36662.09,2024-07-24
CMP-1029,Field Event - Enable Interactive Schemas,Field Event,35118.94,2025-02-22
CMP-1030,Referral - Morph Cutting-Edge Applications,Referral,4302.33,2024-11-06
CMP-1031,Paid Search - Disintermediate Magnetic Channels,Paid Search,24254.52,2025-01-30
CMP-1032,Paid Search - Synthesize E-Business Markets,Paid Search,31754.38,2025-10-30
CMP-1033,Referral - Embrace B2C Functionalities,Referral,4609.96,2024-05-04
CMP-1034,Referral - Generate Cutting-Edge Metrics,Referral,2014.21,2024-02-19
CMP-1035,Referral - Synergize Enterprise Metrics,Referral,2313.42,2024-12-29
CMP-1036,Referral - Mesh Dot-Com Schemas,Referral,2534.43,2025-10-30
CMP-1037,Field Event - Implement One-To-One Methodologies,Field Event,39178.22,2025-02-21
CMP-1038,Referral - Engineer Real-Time Experiences,Referral,3864.49,2024-09-21
CMP-1039,Paid Search - Embrace Distributed E-Commerce,Paid Search,32115.36,2024-05-02
